id,text,label
23,"@dsilvao Más que seguro que muchos nacieron producto de acoso y hasta violación 😒. Personalmente, nunca he tenido problemas para conquistar sin recurrir a la intimidación.",non-sexist
24,"@BedMM @NayBetania Tú eres la culpable, perra >:v",discredit
25,Yo no puedo creer que las propias mujeres naturalicen una violación o acoso y lo justifiquen con que la mujer es la que “provoca”. Que mente de mierda la puta madre,discredit
26,"Ahhh pero vaya y uno callada les acepte las cortesías sin ánimos de darles sexo que cuando se estrellen, de 'perra oportunista' no te bajan.",non-sexist
27,"@KiraraPixel Ah no, ella no es zorra es libre, el que es imbécil es el que tiene pareja y no hace más que ir detrás de otros XD",non-sexist
28,"LA MUJER ES MUY ZORRA,SABE COMO Y Q HACER,PARA CAGAR A UN TIPO,MAS SI EL TIPO ESTA ENAMORADO,o es un boludo,que le cree todo,le compra todo,le da todos los gustos,y termina cagado,,Yo solo quiero recuperar a mi hijo,,esa mina,se lo llevo,no me deja verlo, https://t.co/LC56ZBBOli",discredit
29,@DalasReview @jk_rowling Hijo de puta muerete asqueroso no te mereces esa mierda,non-sexist
30,"@Wachit0 @100Akshat @_Midoriyaa_ @NeohSJ La idea está la polla con cebolla pero obviamente no todos van a entrar por desconfianza, pero entrarán los que quieran ir y tengan confianza",non-sexist
31,@pprecuero @EdGrimaldo Ni tas trabajando perra callate.,dominance
32,"@ngelSnchezC1 @jfitzgerald_86 @JavaliVerruga @LeticiaDolera No son horas de estar tocándonos en coño a 1 de enero, caballeros, dispérsense.",non-sexist
33,le dije a mi mamá que extrañaba a un pibito y me tiró los pelos jajajajajajajjaja enseñandome como en los viejos tiempos perra,non-sexist
34,@Dlagox no sabes cuanto,non-sexist
35,"Y yo atorado en el tráfico, claramente tu eres la perra de esta relación. https://t.co/2CaxQqwHqQ",discredit
36,Nada más vulgar y de mala educación entrar a mi casa y gritarme sin saber de que me habla. TE MERECES EL INFIERNO PERRA.,discredit
37,"@birarxs nono claro que no, callate q mientras tenga alcohol vos tragas perra",dominance
38,"Dos amigos hablando: -Raúl, q me das por mi mujer? -Nada -Trato hecho.",stereotype
39,"@vignaxnnayar No tenes nada que agradecer, te lo merecesssss blda !!! Te amo mas zorra💙💙",non-sexist
40,@SamuSG_ pues comemela,non-sexist
41,Lpm la perra no merecía eso :( https://t.co/H6AUh7BX8m,non-sexist
42,@AlexandGutiz Pues dispuesto a ser un amo muy exigente! empinarte a mi gusto y nalguearte como te lo mereces por puta cachonda y zorra,sexual_harassment
43,"— Yo soy respetuoso con los demás, sólamente les recuerdo lo que son. Y si son escoria no es culpa mía. ... — ¡Claro que lo sé! ¿¡Por quién me tomas!?",non-sexist
44,+¿Es que solo sabes subir historias de tu perra? -¿Es que hay algo más que merezca la pena?,non-sexist
45,"Marximo cultural y destrucción lingüística, cuando haya una violación y ocurran acosos las veremos chillando, la división de baños por genero hace un filtro para enfermos mentales. https://t.co/txI3LAxZSU",non-sexist
46,"@fxbianna Y tu eres la amiga perra que me lo va mamar a espaldas de ella, estupida",sexual_harassment
47,@Mariiana1478 @vca99 @laura9909_ @mejiaosorio_ Tú eres la perra mayor JAJAJAJAJAJA con manes de carros,discredit
48,@KilvettZ Cállate tú vende patria hijo de tu maldita perra madre q te trajo al mundo.. te hubieras ido con todo y placenta al infierno,discredit
49,"@pauli_lovagnini JAJAJAJAJAJAJA cállate perra 😂. Lo que debe ser ese video 🤢, we",dominance
50,"@AgathaBribli Te lo mereces, por usar uñas de GUARRA",discredit
51,@palopascalee paloma cállate la boca que sos de flaca hija de perra una envidia,dominance
52,"Me maman esos casos en los que el hombre es el enculado y la mujer es bien perra, es como ver el otro lado de la moneda 🤔",non-sexist
53,"dicen que los animales son los más fieles, pero si tú eres una perra, qué pasó?!!!",discredit
54,@TeleShowTV @EdgarCamarasa Si era tan buena no estaría preso por ABUSO ACOSO VIOLACIÓN A UN MENOR. Que pague para que aprenda el y sus seres queridos.,non-sexist
55,¿Estás en contra de Erdogan? Pues te ponemos una foto con una polla en la cara y manipulamos el titular. https://t.co/qbG04sMOsv,non-sexist
56,"Para que? Si tu eres una perra, tienes 182837332 qlitos.l. i miss you😘 https://t.co/fOomk28Phf",discredit
57,"En que se parece una mujer a un cientifico? En que al cientifico le pasan cosas por la cabeza, y a la mujer le pasan cabezas por la cosa",stereotype
58,"@_BarbaraBlade Para mi una mujer es perra sólo si comete infidelidad; si la chica está soltera ¿qué diablos le impide acostarse con todos los manes del planeta? Un man lo hace y nadie dice nada, ¿quién les da el derecho de juzgar por lo mismo a una mujer?",non-sexist
59,"hice q la perra subiera al colchon y mi vieja la saco cagando, Q M IMPORTAN LOS PELOS ADRIANA CALLATEEEE",dominance
60,@Alexaladyekt Q perra tan cojible eres puta yo ya m eh culeado a varias putas d elektra pero se nota q tu eres especial seria rico chiquitearte y darte a beber mis Miados y mis mocos,sexual_harassment
61,"@vanessagirona @KRLS @mossos Vienes a las mías..., 'políticos' no España, con Franco eso no pasaba teníais lo que queríais, todos por igual, el fanatismo por la independencia llegó después con atontaos a los que votamos, yo soy de c's por innovar no por o",non-sexist
62,@Reforma @aurelionuno No seas hijo de puta Nuño según tu eres representante de la educación puto viejo chismoso chupate mi verga.....,non-sexist
63,Entiendo que el acoso puede terminar en violación o muerte (en el peor de los casos) y las drogas normalmente dañan al que las consume. Uno es un daño infligido y el otro daño es autoinducido. https://t.co/BRv1dUD71r,non-sexist
64,"Soy caga palos y que! Pagame a la madre y callate el pinche osico perra ,antes que te valla peor hija de puta 🇲🇽😈",discredit
65,"@alaniscristalv Cállate, pa' interés cualquiera so perra",dominance
66,@Barbijaputa Por culpa de los petardos tengo unos amigos locos por encontrar a su perrita. Se les escapó y salió huyendo por el ruido. https://t.co/pw4b7kWwoc,non-sexist
67,DIPUTADOS.HIJOS DE PUTA Q. VAN A PROVOCAR A LOS GENDARMES . QUIENES SON ?? KMAXIMO DEL CAÑO MORO BREGMAN CUANDO LUCHARON ×LOS JUBILADOS??,non-sexist
68,Pegarte en la cara con un sartén > ver Friends. https://t.co/HGNu2v8g7C,non-sexist
69,@ERROR14501 @BIZARROMAN09 Callate perra y no,dominance
70,@PoderFeminazi Cállate y hazme la cena.,dominance
71,@Anita_Romi Cállate la puta boca challenge no eres una mierda de persona y si te draggean pues las cogemos y las matamos https://t.co/uZThUJRoPD,sexual_harassment
72,"@tinaletina Ojalá no fuera así, pero tristemente lo es. Normalmente y gracias a Dios en el 90% de los casos son mujeres normales.+",non-sexist
73,@mariajoarga @Paugalindo Ay cállate perra.,dominance
74,"@Guru_socket @joaquinbarucco La mejor forma de dormirte es pegarte un cachetazo, en la cara dormido... (Pensala) 😠 🙆...",non-sexist
75,@beleeeennnn_ sos más perra vos que ella callate,discredit
76,"Cinder eres una hija de la grandísima puta y te mereces lo peor. Y te lo vas a llevar, zorra de mierda.",discredit
77,"@Barbijaputa De mí se rieron por relacionarlo con el veganismo: 'mirad a esta loca las tonterías que dice, lo que me faltaba por oír.' Mi hermana les miró como si fueran mierda, no entendieron por qué eran los únicos que se reían en la mesa.",non-sexist
78,A esto se le llama falta de vergüenza https://t.co/BxZckxF9xQ,non-sexist
79,Exacto! #puralata #feminazis #HombreAbusado https://t.co/zTEvaftxcd,stereotype
80,@FaunaFeminazi Ayúdanos a promover el Movimiento SEMEN!! Un RT!,non-sexist
81,"NO ES CULPA MIA UUUUO, LA ZORRA DE TU NOVIA QUIERE ARRANCAR, NO ES CULPA MIA, UUUUO",discredit
82,"''¿Quieres buscar fama pa tirarte la kiada, pa follarte a la más guarra y ganarte 4 perras? Yo te la regalo primo, solo trae desgracia. Yo ya escuchaba al Edu y el decía: 'fuck the fama'''",discredit
83,"@aloayzah @MangeSuazo @joseantoniokast Oye, clouseau, de tanto pegarte en la cara ya la tienes plana. Algún otro argumento aparte de repetir mil veces un emoticon?",non-sexist
84,@Sonia_Cameselle Esta mujer es una perra.,discredit
85,"@Relatofeminista Hemos empezado de puta madre, si seguimos este paso llegaremos a las cuevas antes de que rajoy diga la próxima gilipollez",non-sexist
86,"@m_wesner1 Te mereces todo lo que está bien, que lindo verte así perra 🙌🏽💖",discredit
87,Ains... ya no queda buen machismo como el de antes...,non-sexist
88,@OneforAllDeku_ @xkingxexplosion ¡Tú no me das ordenes imbécil voy a destruirle la polla a ese maldito subnormal y voy hacer las cosas a mi maldita manera! ¡Apártate parásito!,non-sexist
89,"Morgan Spurlock, director de ‘Super size me’, se autoinculpa de acoso sexual y violación https://t.co/xxihQICczk",non-sexist
90,Jajajajaja le tengo que enseñar eso a mi perra😂 https://t.co/rlTRFU3Dx0,non-sexist
91,Me encantaria darte unas nalgadas ricas ❤ — A mí me encantaría pegarte una hostia en la cara https://t.co/rUKwwVXlxm,sexual_harassment
92,Para el tal uranium ese todo el puto sol en la cara voy a autodestruir la polla,non-sexist
93,7. Loreen; no tengo suficientes palabras ni caracteres para definir en un tweet porque esta mujer es la puta reina de suecia. https://t.co/DnE5ZpziQI,discredit
94,"Apartas el tanga a un lado, posas mi polla en tu coño y te dejas caer despacio metiéndola entera, que placer me da sentir como aprieta tu coño durante todo el recorrido, baja nena https://t.co/EAzApav28W",sexual_harassment
95,Eres una perra que no merece a sus amigos — ¿Quieres ser mi amigo/a? Tal vez a ti sí te merezca. https://t.co/NjEcj00Z9a,discredit
96,"@OrgMujeresCI Estoy de acuerdo, pero no sé puede minimizar o relativizar la violación o el acoso sexual. Sea de rocas y famosas o no",non-sexist
97,"A ver cielo, ¿sabe tu coño a la polla de mi marido?, porque si es así... también me lo comeré muy a menudo https://t.co/xrqIBf4VMq",sexual_harassment
98,"@anaisbernal Pásalo muy bien,te lo mereces 😘😘",non-sexist
99,"@HuxGeneraI « hijo de perra. Por supuesto no lo haría, solo el muy bastardo se lo merecía por intentar siempre menospreciarle .... Si los golpes no funcionaban, habría de intimidarlo aún de la manera más repugnante —",non-sexist
100,"@erreleny @Fel_blan Buena descripción, aunque se te ha olvidado decir la puta moralina. Todos tienen que ENSEÑARTE y EDUCARTE con su puta moralina de los cojones. Es una serie muy milenial.",non-sexist
101,"Esa gente insultando y condenando al asesino de Diana Quer pero que luego le quitan importancia al acoso, violación y maltrato a la mujer...",non-sexist
102,"2018 y 'vas provocando 2018 y 'te violan por guarra que te lo buscas' 2018 y si te resistes te matan, y si no te violan pero eh 'haberte resistido más' 2018 y 'pero había bebido? Dijo que no? Qué llevaba? Es ligona?' 2018 y la sociedad sigue dando asco Lets change that",non-sexist
103,@Maridolvers Perra te lo merecías! 😎,discredit
104,Qué es un partido doble mixto de tenis? Un single de hombres con obstáculos.,non-sexist
105,@Milenio Cállate rata asquerosa priísta de toda tu perra vida. No te cansas de robar. Pudrete hijo de tu puta madre.,non-sexist
106,@MiaVasile Callate y mira como la perra muerte toda la alfombra,dominance
107,@KPLong4 @cuenta_C @A3Noticias que te calles la puta boca esa de sapo que tienes,dominance
108,Que es una Mujer embarazada de dos nenas y un varon? Un kit de limpieza con instrucciones.,stereotype
109,"¿Cuál es la peor desgracia para una mujer? Parir un varón, porque después de tener un cerebro dentro durante 9 meses, van y se lo sacan.",stereotype
110,@anaisbernal La Mariló Montero es una hija de puta machista!,discredit
111,@come_hombres Agrega puta zorra yo te uso como te mereces y te ago mas puta de lo que ya eres,sexual_harassment
112,"@IrantzuVarela Encuentro fascinante como los tíos cogen una prueba de su inutilidad (frígida, mal follada, coño reseco) y tratan de hacerlo pasar por un insulto hacia nosotras",discredit
113,Mi novia es la mujer más hermosa que he visto en mi perra vida.,non-sexist
114,"@Solanopo Cállate sorete buscan un muerto hijos de puta, ojalá se te muera tu mascota en navidad",non-sexist
115,"¿Porque se dice que la cerveza tiene hormonas femeninas? Porque cuando la bebes conduces mal, dices tonterias y nadie te hace caso.",stereotype
116,1-Acoso no es abuso ni violación 2-Naturalizar un acoso como si nada sin mediar palabra que retracte conductas no está ni un poco bueno,non-sexist
117,"Monica dejate de tonterias, Nerea lo ha hecho de puta madre , yo no veo nada q objetar #OTGala9",non-sexist
118,@Andrefcarmona @ValeeJurado Tu eres una perra,discredit
119,@BeeluArzola callate puta mal parida perra re culia inconciente callada deberias estar maldita,discredit
120,@erices16_ Cállate vos wacha trola deja de confundir las hormonas puta,discredit
121,YA CALLATE PUTA PERRA ME TIENES CANSADO CON TUS PENDEJADAS,discredit
122,@jovencito9797 Comemela a mi jejeje,non-sexist
124,"Te odio Lidia, no te mereces a Francisco, #perra #LasChicasDelCable2",discredit
125,@GustavoOrozcoH No le enseñaron modales a esa antifujimorista perra mermelera del foro de sao paulodebretch?esta ofendiendo a millones de votantes,discredit
126,@gonzozaqw @_piturros tu callate un mes perra,discredit
127,"Macho, aquí te llaman guarra ya por enseñar las orejas https://t.co/VomjsvEeY4",non-sexist
128,"Te voy a enseñar lo que es una perra, PERRA.",discredit
129,@FreddyGuevaraC @NTN24 Callate q estas preso hijo de tu puta mae,non-sexist
130,Gracias Twitter por enseñarme que el truco para ser famosa es estar bien buena y ser bien puta,stereotype
131,Cuando no opinas como las #feminazis quieren sos acosador/abusador/violador.... 80% de las denuncias de mujeres victimizadas son falsas. #Femimoda https://t.co/PkqOGkjziV,derailing
132,Tengo frío en mis piernitas.... ahhh pero quería venir en perra enseñando pierna no?,non-sexist
134,Todos estan negados a enseñarme a manejar hijos de puta ya los voy a atropellar tarde o temprano,non-sexist
135,"Una violación cada 8 horas en españa Más de 1000 asesinatos machistas desde 2003 Todas hemos sufrido acoso callejero alguna vez Pero oye, son casos aislados y somos unas exageradas porque 'vivimos en uno de los mejores países del mundo' https://t.co/mcSF1sGWQn",non-sexist
136,@abc_es @HiginiaRoig Ya está la niña del exorcista diciendo tonterías. Has visto lo que a hecho la guarra de tú hija.,discredit
137,"Lo estoy contando a sara lo que me pasó el 28/12 y me está llamando zorra, no es culpa mía ok JAJSAJAKSJAKSAKJSKJ",discredit
138,"@Alba_fcb14 Qué haces puta, cállate ya",dominance
139,@Laura99CM Ahora que me has faltado el respeto te lo puedo decir por fin: ¡A fregar puta!,discredit
140,"@A3Noticias Esta tiene que ser una 'fake new' porque las mujeres son siempre las víctimas, no las hijas de puta maltratadoras. Eso o el chaval es un machista que se lo ha merecido (machete al machote).",discredit
141,"te mereces eso y más hijo de perra, no hiciste nada con mi Rebaño https://t.co/AU5hBorahK",sexual_harassment
142,@CaballoLyL @Rayados @TigresOficial Tu eres la perra y prostituta de tu papá y aun sigues vivo jajaj,discredit
143,"@raykrai tú eres ninini: ni estudias, ni trabajas, ni haces puta gracia",non-sexist
144,"Hoy es lunes con l de LA PUTA MADRE KIRKMAN, CARL NO MERECIA MORIR",non-sexist
145,@yulianaromero19 Entonces según esta lógica tú eres una perra como todas las caleñas(?),discredit
146,"Ole tu, solo le falto decir que con Franco eso no pasaba https://t.co/27hVQOiL1K",non-sexist
147,@LailaGermanotta Se merecía 3 oscars solo por esa escena. La hada madrina es ESA ZORRA,discredit
148,@carmeladp07 POR FAVOR NO PROMETAS ESO ☹️😢 tú eres perra diva,discredit
149,@angela15rubio Callate y sacate la puta eso,dominance
150,"Una mujer es tildada de zorra, buscafama etc y automáticamente está mintiendo, se le falta el respeto y se le cree al hombre. Cualquier semejanza con lo que consumimos todas las noches, es pura casualidad.",derailing
151,@nick17buero Opaa jajaja comemela entonces ajajaj,sexual_harassment
152,"@prssrx +Si te molesta que te miren raro, es culpa de tus complejos y la unica opcion es adelgazar. Y si no te molesta seguiras con tu vida.",stereotype
153,A Benzema le va a nacer un embrión en la garganta de tanto chuparle la polla a Zidane,non-sexist
154,@effeditallup Star Wars: crea un personaje masculino complejo de puta madre La gente: *estas tonterías*,non-sexist
155,¿cual es el dia de la mujer? -El dia menos pensado-,stereotype
157,#TITULAESNACIONALES: Interpol captura a deportado salvadoreño que es acusado por los delitos de violación y acosos sexual,non-sexist
158,@SamuelMarinRuiz Por desgracia tengo 4 pelos polla en la cara y es toh muy sad Encima de Panchito y parguela...imberbe https://t.co/CQm0ZwcPGa,non-sexist
159,Porque las mujeres ven las peliculas porno enteras? -Porque se creen que al final se van a casar o algo.,stereotype
160,"@Sucedaneosdesal @recap001 Pero cállate perra, que lo lo había visto xD",dominance
161,Pero a ver tú eres más puta que las gallinas contigo no hay virtud que proteger #nv,discredit
162,@feminiciD10S @metabolizedjunk Callate hijo de perra,non-sexist
163,"@Relatofeminista eso te lo has inventado, y si hay alguien tan imbecil para decir eso...",non-sexist
164,"@clarialvarez15 AH NO q hija d puta sos, mejor callate",discredit
165,"Estamos en un Estado de igualdad, no? Para cuando la escena de un hombre que diga, 'busco a una guarra para poder fornicar como un loco despechado hasta nuevo año'? No es esto una descarada y funesta forma de incitar el incorrectismo coyuntural y los falsos modales? https://t.co/MXq3X8JFrD",derailing
166,"@bichoscristo Ya ni me hables de esa escoria, aunque no todos son malos.",non-sexist
167,¿Y si dejas de alimentar la cultura de la violación y el acoso mejor? Uno viste la hueá que se le antoje https://t.co/77QrEgbIzF,non-sexist
168,"@Emol No apruebo hechos como la violación o el acoso sexual, pero el riesgo de este tipo de campañas es que se pasa de hacer conciencia frente a un hecho determinado a un fanatismo extremo, en la que pagan 'justos por pecadores'.",non-sexist
169,Vuélvete una perra con quien lo merezcas https://t.co/TxrsCYQYQ8,discredit
170,"@IrantzuVarela Mezclas conceptos, hablar de acoso es una cosa, de sexo o violación es otra. El acoso es no aceptar un no, es usar palabras groseras, pero no saludar, presentarse, invitar a un café una sola vez, aceptando el si o el no como respuesta, o in",non-sexist
171,el es un capo!!! la mujer es una zorra !!! https://t.co/8WMjuYt3Uh,discredit
172,Ya callate con tu puta aguila color azul pinche tabasqueña fea >:( #ExatlonMx,discredit
173,Tú crees que eres cool y no eres una zorra y droga — y tu eres mi fan que tan pendiente a mi vida estas ... https://t.co/rNQvEMXCTH,discredit
174,@HdzJaleny Cállate perra por qué yo tq,dominance
175,El biribiri de las estupidas adolescentes manipuladas por la #femimoda aburre a la sociedad y enoja a los abusadores. #feminazis,stereotype
176,"@anto07ro Siempre te hago el aguante callate, mña si perra",dominance
177,@Marta04104594 Embestir te con fuerza q chilles al sentir mi.polla en tu coño humedo,sexual_harassment
178,@DeboraGarrido15 Cállate perra del infierno 😭,dominance
179,Estamos en periodo electoral. A pesar que las mujeres tengan derecho a voto; hagámoslo lo mejor que podamos #hombres #votojusto,derailing
180,ONLINE EN https://t.co/wkT9BMovtL Thalia peliroja canchonda en busca de una polla bien guarra ...#sexo por #webcam 🚨 https://t.co/YEVmgJXLgD,sexual_harassment
181,@MashiRafael Ya cállate rechucha de tu madre y traga de tu misma medicina hijo de la gran puta!!! Tirano cobarde y dictador,non-sexist
182,No entiendo por qué no te gusta mi perra si tú eres más perra q ella,discredit
183,@JorgeCalabres Cállate hija de perra mongolo de mierda,non-sexist
185,@ami_abud callate gorda babosa igual q tu perra,dominance
186,Porque ladra tanto mi perra? La puta madre cállate un poco,discredit
187,"@SrtoAdriGH abusaba de él, es una zorra merecía morir.",sexual_harassment
188,"El problema con la violación y el acoso si son un problema cultural, que uno hable de machismo no quiere decir que uno hable de la santidad femenina. Hay mujeres machistas violadoras/acosadoras, las hay",discredit
189,"@LaUnionAM800 No es mas imbécil porque no es mas alto... el y su guarra, par de analfabetos funcionales... instigadores y apologistas a la violencia...!!!",discredit
190,@Mzavalagc Oiga ¿y todas las victimas de acoso y violacion consecuencia de la espiral de violencia desatada por @FelipeCalderon para desviar la atención del fraude de 2006? Esas que no tienen voz por no ser figura pública ¿usted ahora sí las va a represen,non-sexist
191,"Enferma hija de mil puta y la concha gorda que te pario soreta te mereces una muerte lenta y dolorosa, te odio te odio te odio te odio gorda cinica https://t.co/UZU726enuv",sexual_harassment
192,Hijos de puta! Os merecéis lo peor... Q asco me dais! 😭😠 https://t.co/MOHv2yINgd,non-sexist
193,@TimoFARC @ONU_es @antonioguterres Cinico hijo de puta lo unico que te mereces es indumil corrido,non-sexist
194,"@KobaML Claro, es un hoyo(coño) que se abre con una tuneladora(polla) sin consentimiento de la naturaleza. Una macabra violación de libro.",non-sexist
195,"Mira estoy hasta los cojones de que por enseñar una teta y no ser tío me llamen guarra,por enseñar el culo me digan que solo lo hago para calentar,tronco tanto os cuesta ver una teta de una tía como algo normal?Es un cuerpo al igual que el del hombre,amo enseñar mi cuerpo!!! https://t.co/3DLCmgKc88",non-sexist
196,"¡MALPARIDO, DESGRACIADO HIJO DE PUTA! ¿SERÁ QUE TE PARIÓ UNA BURRA, QUE TU MUJER ES UNA HIENA Y TE HA PARIDO CHACALES EN VEZ DE NIÑAS? ¡CON EL PERDÓN DE ESE ZOOLÓGICO QUE NOMBRE, PORQUE LOS ANIMALES SON ESO, Y TÚ Y TU GENTE MIERDA PURA! https://t.co/WrQaGXHAIf",non-sexist
197,"Se me olvido mi perra tarjeta, pero lo bueno de ser mujer es que en realidad no la necesito ¡Viva el heteropatriarcado opresor! ¡Vivaaa!",non-sexist
198,@xTZeuS Zeus callate puta gorda q te huele la boca,discredit
199,@Irene_Montero_ Y tú eres mejor que ese cerdo hijo de puta de @eduardoinda qué decepción de podemos https://t.co/2JzLiEgMDa,non-sexist
200,Otra puta injusticia.... Raoul grande Te mereces lo mejor #OTGala8,non-sexist
201,@justlikecams callate camila y dame seguidores perra,dominance
202,@EJCJ @MartinaSotoPose No creo que nadie confunda acoso con seducción ni violación con fantasia sexual.,non-sexist
203,Es la hora de la siesta. ¿Cómo se dice 'siesta' en femenino? Fregar los platos.,stereotype
204,"@carmonangelica @anaisbernal Por que no la salió del coño decirlo, a quién has venido a juzgar, a Salma o al puto acosador?",non-sexist
205,"'Mi novia es sevillista, es una puta más' canta Adán. Ahora vendrán hablándome de clases, de categorías y de 'piques'. No hay más preguntas, señoría. https://t.co/TXauHkGf0r",discredit
206,"@Rockefort100 Hahaha, me das risa. Mejor cállate y no te metas donde no te mencionan, perra llorona.",discredit
207,Vamos a ver si hay algún extremista de la mujer por aqui...,non-sexist
208,@CauliflaSexrol Tu coño si que sabe complacer mi polla rubia ❤️,sexual_harassment
209,@DollarGames Joder dollar 😂comemela jajajajaj,non-sexist
210,Cardi B se ve que como novia es súper perra. Soy su fan,discredit
211,"@cobaiabaia Al menos en 13rsw, creo que no idealizan el suicidio ni el acoso o la violación y dan un mensaje, sin embargo en esta serie me da la sensación de que pintan como super guay ser un psicópata.",non-sexist
212,@DeluxeSabado @gusgonzalves Un imbécil que dice ahora el payaso este la zarigueña y gema de las infidelidades de Kiko Rivera eh sois escoria,non-sexist
213,@AnaMari54039993 @anthony_j17 @Lenin Cállate perra igual entendiste el mensaje anda a pintarte las uñas y hablar de maquillajes perra,dominance
214,@laLauusrobles Tu eres zorra amiga jajajajajajajaja,discredit
215,@xVolkovaVera Que guarra. Búscate ya un mozo.,non-sexist
216,@qweenbellaC callate de una vez perra en celo,dominance
217,"Si por rechazar, enseñar el culo, enseñar las tetas, follar, liarme con quien me salga dl coño o etc soy una guarra, tranquil@s, seré aún más guarra todavía. Pero lo que realmente soy, es libre, libre de hacer con mi cuerpo y con mi vida lo que YO quiera, no lo que a ti te guste.",discredit
218,"O Panamá es muy chico, o tu eres muy perra.",discredit
219,@Barbijaputa este pequeñajo lleva dos días pegado a mi por culpa de los putos petardos https://t.co/4jBvYLFG3O,non-sexist
220,ESTA MUJER ES UNA VERDADERA PERRA......SERA QUE SE EMBRIAGA CON LA SANGRE QUE DERRAMA EL PUEBLO HUMIDE ARGENTINO? https://t.co/InR3jvSOYm,discredit
221,"'No eres una perra para advertir enseñando los dientes. Ahora, ven conmigo. Siéntate, observemos a los humanos celebrar su nuevo ciclo anual.'",non-sexist
222,@aguandradaa callate una vez q toy feliz lo quiero compartir china puta,dominance
223,@PilarBenitoG Cállate perra tú no estuviste ahí,dominance
224,@Lucasssmerlo Cállate hijo de puta. Me hace acordar a tu mamá cuando la lleve a la residencia a que se ventile un rato,discredit
225,"2018, pelea de mis hermanos en la mañana Hermana: cállate pendejo Hermano: pendeja tú y pendeja tu perra ! Yo: omg a whole new level 😆",discredit
226,"@cristinadevonne Ni tú eres perra ni yo soy un gato, mi corazón de repuesto, se muere por latir siempre a tu lado.",non-sexist
227,Perra agradece que te tire el licor en la blusa te lo merecías en la cabeza hp 😂🤦‍♂️ antes de hablar de mi... https://t.co/uRJEvTPI3W,sexual_harassment
228,@anaisbernal Esta es la justicia en españa para estos indeseables una puta verguenza,non-sexist
229,@lortegadiaz Cállate perra que a ti te espera el mismo destino de maduro y cabello ahora se la tira de correcta porque no lo hicistes aquí corrupta de mierda,discredit
230,Pq la canción esta bien puta y tu eres tan puta que la cambias https://t.co/sKeH55PaIq,discredit
231,"feliz año zorra, te amo imbécil :( @poetswonho",discredit
232,@ViktorBautista @DGii Hijo de perra como tú eres una botella...te conviene,non-sexist
233,"@el_pais Más d 17 denuncias por acoso sexual incluyendo Una violacion a su propia esposa y una relación promiscua con su hija Ivanka.Universidad y fundación Trump en NY cerrados por fraude y lavado d dinero,Siete bancarrotas,este delincuente tiene d todo ",non-sexist
234,@TNFamosos Uy pero que cochino el que acoso a la fea está. No se le cree nada a la imbécil está maju creo se llama. Un asco y mentirosa la mina,stereotype
