,id,text,label,misogyny_category,target
1095,3197,@elisacarrio Callate gorda borracha hija de mil puta sos lo peor de la politica argentina ya lo dijo don Raul Alfonsin,1,discredit,active
2870,1666,"@anaisbernal Todo muy logico, que escoria de gente...",0,0,0
219,964,"@rondaxrush JAJAJAJAJJAJAJAJJAA maldita perra,no mereces vivir https://t.co/xnCJ0oCkDH",1,sexual_harassment,active
875,496,Soy un hombre descompuesto cállate perra puta y déjame explicar,1,dominance,active
994,226,"@cristinadevonne Ni tú eres perra ni yo soy un gato, mi corazón de repuesto, se muere por latir siempre a tu lado.",0,0,0
143,643,@xJustClaudio HIJO DE PUTA Ahora no te mereces tener ese gato,0,0,0
2930,1925,"@natalialvaradoa Me has invitado UNA VEZ y fui. Cállate la perra boca, farsante,",1,dominance,active
1263,2140,"@cristobalsoria Retrasado callate la puta boca asqueroso , encima el puto arbitro no nos pita un penalti legal",0,0,0
1309,1104,Esta mujer es una perra de mierda yo le saco la cucha a ella la maraca culia https://t.co/QPdiKGAJcE,1,discredit,active
909,1929,@JeromeGarffer A la verdad q tu eres bien HIJOEPUTA con este comentario. Salchicha so CABRON? Eso ni tu puta MADRE SE LO CREE! Que muerto de hambre es este Garfferito. @ricardorossello @jayfonsecapr @NotiUno @normandoh @riverasaniel @CNNEE @FEMAespanol @E,1,discredit,active
239,1436,"Asi es nuestro periodismo! Dais asco!No mereceis q os llamen profesionales! “Golfa, perra”: el último testimonio pone al padre de Diana en el disparadero //www.esdiario.com/725804060/Golfa-perra-el-ultimo-testimonio-pone-al-padre-de-Diana-en-el-disparadero.html vía @ESdiario_com",0,0,0
1650,408,@HowToSnorlax @s0ymia Diego me caguen tu puta madre callate ya ostia puta me caguen diso,0,0,0
2234,733,@Luis050876 @EspanaTovio @CeDemocratico mmmmm ese es el argumento cínico que usan algunos para justificar una violación o acoso,0,0,0
2231,3331,@mujerlunabella Para que la negra si tú eres bien puta no hagas promoción pa mi que lo único que quieres es un pinché trío,1,discredit,active
510,977,"Jugamos de polla, no tenemos arriba a nadie que remate una pinche bola y nos vienen diciendo que es culpa de los árbitros y de que no quiere entrar. Mira yo me cago en vuestros putos muertos desgraciaos",0,0,0
860,1141,Tengo una memoria de puta madre para tonterías tipo acordarme de los libros mangas etc de cualquier mierda que pase. Pero después siempre me olvidó de las cosas que no son esas en 5 minutos,0,0,0
74,1325,@vayakuadro pero tú eres un poco zorra,1,discredit,active
268,2690,Tu novia es pelotuda o se le descarrilaron los dientes? La puta madre esa inseguridaad mamita,1,discredit,active
880,2850,"estoy en contra del aborto, el acoso, el suicidio y la violacion fake 😡😡😡!!",0,0,0
2474,2484,@srtaalegre_ Siiii jajjajajajjajajaja yo te iba a enseñar pero vivís lejos nde puta.,0,0,0
2723,695,A mi amigo le dijo PUTA pero él no deja de enseñar el pito en Twitter! 🙄,0,0,0
1740,586,"@vmoulian @baradit Puta el weon hincha pelotas... Criticas a @baradit por su programa, pero tu eres panelista en Primer Plano... EN PRIMER PLANO PO WEEEOON!!!... Chanta!",1,discredit,active
2245,3214,@Ceci_fer21 humm si me gusta tu vulva mi polla duro follar fuerte tu cono mi puta https://t.co/pSHWzkyxaY,1,sexual_harassment,active
409,2107,@DaniJohnson__ Callate pajera chupa pija si te encantan que te maltraten perra,1,sexual_harassment,active
3057,2307,@FCaced Callate ya enserio me cago en toda tu puta madre que dominas sobre tu hermano pero prq eres una mierda hijo de la gran sorrita,0,0,0
2496,2439,@ISexrol Seguro que esa chica es la más puta de tu serie.,1,discredit,active
2132,1330,@diarioas Buaffff con la Iglesia hemos topado los que dicen que son periodistas sois la mayoría no todos sois escoria,0,0,0
1894,3341,@granainosnovat1 Una boca así con una polla así da gusto verlo...... y ese escote que se ve por ahí abajo habéis conseguido poner algo duro esta tarde también!,1,sexual_harassment,active
973,1783,Tápate las tetas pedazo de guarra — No quiero y no soy una guarra por enseñarlas Sorrynotsorry https://t.co/BhBgoMB85e,1,discredit,active
2418,3091,"Ha estado super ajustado, qué puta rabia. Mireya merecía, y de lejos, quedarse esta noche #OTGala7",0,0,0
2278,3191,@EnamorandonosTV Cada vez enseñando mas el culo la babosita y Carmen parece sirvienta con esos trapos jajaja,1,discredit,active
1086,2321,"bueno, qué necesidad hay de quitarse la puta camiseta para enseñar abs pREGUNTO https://t.co/KBgI5YLhpB",0,0,0
1549,1441,"@KarinaFromField Tú eres mi perra, ¿yo qué culpa?",1,dominance,active
507,1317,"@SErikasex Ya deseo castigarte de una buena vez perra de mierda, mereces que te rellene una y otra vez de muchos chorros de semen hasta dejarte preñada!",1,sexual_harassment,active
344,476,@McctaraStefy Callate que nos amas perra en celos,1,discredit,active
504,991,@mignonescabio zorra hija de puta no mereces bibir!,1,discredit,active
412,2103,"@sorluciacaram Que dios me perdone, pero TÚ eres una hija de Satanás, solo una hija de puta puede hacer semejante comparación, vete a Argentina y haz allí tus misas negras.",1,discredit,active
3228,1281,"la novia es mas puta y el pelotudo sigue estando con ella , ni pa bosta la mina mas zorra y el ni hablar mas gil todavía , le re kbio",1,discredit,active
630,1531,"@Untrust666 Cállate ok? Se aman déjalos, vida solo hay una perra.",1,dominance,active
1539,875,"@iescolar @HiginiaRoig Tu eres tonto y no tienes ni puta idea. Todo el mundo sabia donde tenía que votar. El.que no fue es porque no quiso. O sea 2300000 personas y los 700000 que nos robaron los fascistas, pero como tenían miedo a la.democracia, prefirie",0,0,0
2141,121,YA CALLATE PUTA PERRA ME TIENES CANSADO CON TUS PENDEJADAS,1,discredit,active
1301,110,@anaisbernal La Mariló Montero es una hija de puta machista!,1,discredit,active
1326,1721,Únete a SEMEN!! http://t.co/SADfduwmgE,0,0,0
2391,683,"@selinac66283070 @machismocalleje @Barbijaputa Propaganda hembrista, Cuando hablas de un hijo de la gran puta que agrede a una niña de 15 años. Tu no tienes vergüenza, eres un pedazo de mierda. Ya te he estado leyendo más veces y eres tan valiente que no ",0,0,0
2599,2500,acaso te digo lo hijo puta que pareces? o me quejo de que seas un amargado día tras día? pues cállate tu tambien,0,0,0
1088,1089,@FlanaganMcPhee @Zurine3 Necesito pintarme el coño y salir con el al aire,0,0,0
2943,1133,"Mi mejor amiga me defendió sin agredirle verbalmente, él respondió con comentarios del estilo 'Callate, puta guarra zorra asquerosa'",1,dominance,active
3178,1331,@parejasexnovato Busca en https://t.co/l5H8kI9cz8. Pagina muy guarra. Talvez ahí,0,0,0
1267,1768,"Sois igual de sucios, hijos de puta y vais predicando valores. No merecéis llevar ninguna camiseta, al retiro @SergioRamos @DaniCarvajal92 #ElClasico",0,0,0
2411,51,@palopascalee paloma cállate la boca que sos de flaca hija de perra una envidia,1,dominance,active
681,1739,@Zurine3 Quienes han sacado esto no han comido un coño en su vida no? Porque no creo que el maquillaje tenga buen sabor,0,0,0
1175,2863,@YoSoyAntrax el juego de puta madre tio te lodigo y el video la risa te tendria que enseñaryoajjaja mentira <3 cuidate bro,0,0,0
2924,129,@FreddyGuevaraC @NTN24 Callate q estas preso hijo de tu puta mae,0,0,0
2656,391,"Y tenes la cara para decir “se lo merecía” PERRA DEJAME NO DECIRTE LO QUE TE MERECES PORQUE NO ESTOY TRATANDO DE QUE ME SUSPENDAN. Y LUEGO, intentas venir por bts porque claro, por qué no?",1,discredit,active
1765,27,"@KiraraPixel Ah no, ella no es zorra es libre, el que es imbécil es el que tiene pareja y no hace más que ir detrás de otros XD",0,0,0
789,2300,@MQuevedoF tú eres un pedofilo y eres un burro dirigiendo a burros y tú madre es una puta arrastrada,1,discredit,active
206,2789,VAMOS LA PUTA MADRE FLORENCIA TE LO RE MERECIAS FEDE LA TENES ADENTRO PETIZO PUTO ahre igual si estoy feliz callense,0,0,0
181,1714,Vuestras madres no son tela pesadas enseñándoos vídeos d mierda del wha kno hacen NI PUTA GRACIA????????,0,0,0
549,2192,@marylibellula1 Tu eres así de hija de puta o es que te afecta la cuesta de enero?,1,sexual_harassment,active
1277,1626,Querido amig@ Godinez hoy se vale que tu café lleve piquete de vodka. ¡Chingale te lo mereces! —Ningún jefe en su perra vida,1,discredit,passive
1032,1093,NO TE PEGO UN SILLAZO EN LA CARA PORQUE RESPETO A LA SILLA,0,0,0
3161,45,"Marximo cultural y destrucción lingüística, cuando haya una violación y ocurran acosos las veremos chillando, la división de baños por genero hace un filtro para enfermos mentales. https://t.co/txI3LAxZSU",0,0,0
2062,2761,A cuántos rechace x vos y salís a decir que soy una puta ¿Tus viejos te enseñaron a respetar a una mujer?,1,discredit,active
716,1860,"Cuando dicen que saques gente tóxica de tu vida para ser feliz, pero tú eres lo más tóxico que tienes en tu perra vida. https://t.co/W6WayOYLkH",0,0,0
375,1275,"Madura colombiana quiere leche en la cara - #TetasPequeñas tetillas, come mi polla, chupar las pollas, comiendosela, chupa la verga, comiendome la polla, chupa, gargantas, chicas https://t.co/t3mPuTiQDs",0,0,0
2881,2364,El video de Faby enseñandole a abrir un champagne a Agos JAJAJAJAJAJAJAJAJAJA la puta madre que buen videoo,0,0,0
1842,402,"@Melinamartt Callate perra desgraciada , estoy enojada con vos. Pd: yo no tengo cuñadas.",1,dominance,active
1877,3050,"@Taaaatiacosta Tatiana la puta q te parió, cállate las vas a sacar",1,discredit,active
1665,2929,"@irreductibleUS Vale crack, defenderé a quien me salga de la polla no todos vamos a ser tan ignorantes como tú, hez.",0,0,0
2938,205,"'Mi novia es sevillista, es una puta más' canta Adán. Ahora vendrán hablándome de clases, de categorías y de 'piques'. No hay más preguntas, señoría. https://t.co/TXauHkGf0r",1,discredit,active
3012,20,Todo política... no se levanta la sesión y estos hijos de puta mandan a los peones que están en la plaza y provocar violencia... 15 policías heridos pero no pasa nada... si esos que están ahí son el pueblo... DIOS MIO el pueblo es mi vieja que se rompe el lomo laburando no ellos.,0,0,0
805,2902,Okeyy puta envíame una enseñando un poco mas y te tradeo en Ebay por una nintendo switch que tengo ganas de jugar al super mario ( eso es que tienes mucho valor para mi) https://t.co/5yNotSLhmu,1,discredit,active
1520,948,"@CastigadorY Es q esta escoria de rufián, hasta en la q él considera su tierra, le insultan. Es q es imbecil integral",0,0,0
1494,2165,@justinevonlars Gran puta hay que enseñarles a Cojer también pío?,1,discredit,active
198,673,"@Ibi_hotmidori por que no me los muestras, me gustaria poder meter mi polla en tu culo y tu concha",1,sexual_harassment,active
326,2748,El enojo de una mujer es como la luz de 'Check Engine'... no tienes ni puta idea qué está pasando y es mejor esperar a que se apague solo...,1,stereotype,passive
154,1641,@pavoacuerda Aqui son acosadores porque les mandan un dm... las haría hablar con una victima de acoso o violación a estas infradotadas para que dejen de hablar estupideces. Asco me dan como mujer.,0,0,0
987,167,¿Y si dejas de alimentar la cultura de la violación y el acoso mejor? Uno viste la hueá que se le antoje https://t.co/77QrEgbIzF,0,0,0
152,2290,"Dicen que pa cada hija eh puta nace un hijo eh puta,y yo creo que tú eres el mío🎤🤫",0,0,0
1093,2866,@pocologicos Más que grasa esa mujer es una hija de puta...,1,discredit,active
2302,1570,@Barbijaputa Un hijo de puta menos,0,0,0
2983,547,"@TowandaRebels Justamente los violadores son la escoria de los hombres, la forma más baja de vida animal",0,0,0
2919,2407,@RubnTjar Callate puta camille 0-8 mientras tiras una base entera. Fedeer de mierda. HIJUEPUTA MALPARIO WEBON,1,discredit,active
1807,1700,@AldoGarFer Tu eres mi perra en beer pong,0,0,0
277,43,"— Yo soy respetuoso con los demás, sólamente les recuerdo lo que son. Y si son escoria no es culpa mía. ... — ¡Claro que lo sé! ¿¡Por quién me tomas!?",0,0,0
76,335,como me caga que me digan te recomiendo una pelicula y me la empiecen a contar. si te pregunto adelante si no callate la puta boca!,0,0,0
414,2775,"te mereces nada y yo te doy todo que hijo de mil puta, juro por lo que sea no volver a contestarte ni un solo puto mensaje, siempre haciendo cosas por vos y vos valorando un culo",0,0,0
2758,2018,"@ferdiazgil @ilseCeroUno01 @Compotita Exacto. Guarra y egoísta, que el que venga detrás se busque la vida.",0,0,0
806,1693,"@daleleoncl Golazo en la cara de la zorra AlexiZ ZáncheZ, que estaba en el estadio esa tarde, y que quería que Cobreloa fuera campeón... no sin antes haber dicho que soñaba con volver a jugar en colocolo. https://t.co/OHuf9q9gLs",1,stereotype,passive
1441,501,LA PUTA MADRE LO Q HABÍA LLORADO XQ ENCIMA LO RE AMABA A RAMA SE MERECÍA EL MUNDO https://t.co/zXG0vg0VgD,0,0,0
116,2208,“Dalas cállate la puta boca” Es aplicable a cualquier cosa que diga.,0,0,0
2796,2246,Ya hay que ser hijo de puta para no darle a tu perro alimentos cárnicos sólo porque tú eres vegano hiper mega cool activist pro animal life,0,0,0
1246,1857,@Roberto81160710 Cállate perra sucia,1,stereotype,active
587,2267,"@SuspendemeeEsta @femitana Haz un favor a las mujeres y DESAPARECE. Deja de respirar, no te mereces el aire que respiras, hijo de puta",0,0,0
3216,2618,"@DalasReview Chabon cállate un rato la re puta que te parió, que tipo idiota y ventajero que sos, cortala con ese tema, ya te dieron famita, y no de la buena, déjate de romper las bolas",0,0,0
2046,631,#HaceMuchoQue no te callas,0,0,0
2426,823,"@spreadxngirl AH, YO SOY AKI, ENCANTADA FUMIKO. //comemela",0,0,0
1521,330,"@Maxxx_Powerr @HormingAtomica @SoyDeLimon O en el de las mujeres, con sus historiales de acoso y/o violación a cuestas que se encuentran a una señora con barba y pene en el vestuario",1,discredit,passive
2020,765,Se acaba de reir jijiji CALLATE PERRA ME ESTRESAS,1,dominance,active
466,3168,@120_0823 @PerroMariguano_ Tú eres la más pendeja y espantosa sirvienta provinciana.,1,discredit,active
1963,487,"hoy, en el curro, le he montado un pollo interesante a un niñato al que le estoy enseñando... soy un hijo de puta a veces, sip",0,0,0
2005,234,@TNFamosos Uy pero que cochino el que acoso a la fea está. No se le cree nada a la imbécil está maju creo se llama. Un asco y mentirosa la mina,1,stereotype,active
110,783,"¿Cuántas veces se ríe una mujer con un chiste? Tres veces: cuando se lo cuentan, cuando se lo explican y cuando lo entiende.",1,stereotype,passive
2292,1397,@Ializar @lauradlcalle @VenACenarTV Es incierto! Te olvidaste lo de ZORRA! Pero bueno si tú eres feliz así adelante! No voy há gastar mis energias cn alguien cm tú por alguien cm Carolina. Solo daba mi opinión! No me vale la pena. Buenas noches,0,0,0
2781,1121,@AlvaroUribeVel Pa’ pegarte en la cara MARICA.,1,discredit,active
2451,1471,"Cogerte en brazos sin sacar mi polla de tu coño y llevarte sobre el mueble, duro contra la pared, clavándotela sin… https://t.co/5SgcBJg4Ez",1,sexual_harassment,active
2284,1198,me: ay el peor enemigo de una mujer es otra mujer also me: esa vieja es bn zorra me again: deberíamos respetarnos entre nosotras,1,discredit,passive
1421,1159,@reginabanda06 tú eres una zorra,1,discredit,active
2060,2996,Jesus le mete ideas en la cabeza a Gabe la puta madre que lo parió cállate hombre,0,0,0
1582,1304,@Ale_rocking Tu eres el Ale que dice que me quiere y tal de vez en cuando no?? Vaya ataque más gratuito perra,1,discredit,active
1220,1002,"https://t.co/ItYktmuAh8 Pero eh, que las mujeres son unas santas y los hombres unos hijos de puta, machistas, opresores.. puto asco de sociedad, las leyes no son iguales para ambos generos.",0,0,0
386,198,@xTZeuS Zeus callate puta gorda q te huele la boca,1,discredit,active
3208,1026,"Deja de estar chingando, estúpida. Tú eres la zorra que se acuesta con quien sea aunque le den diez centavos. https://t.co/yCe73qIbmE",1,discredit,active
1210,614,@alyzaid_duarte Callate perra la amaneciiii,1,discredit,active
1424,2257,@raticorns @La_Malina callate puta. gracias,1,dominance,active
3184,556,Aguante la represión la puta madre!!! A estos negros de mierda hay que cagarlos a palos y enseñarles quien manda!,0,0,0
1485,3142,"@MRojoMan Tú eres un perfecto hijo de puta, que defiendes asesinos como Otegui. Mierda de chusma perro flauta, ojalá te quedes tetraplejico y la embolia para tu padre y el infarto a tu madre gilipollas",0,0,0
117,2893,"@gerardotc Y tu eres un racista de mierda que ahora es progre, revienta hijo de puta",0,0,0
1833,2796,Le dije a mi vieja que era rompe pija y me dice ' callate puta'AJJAJAJA la odio,1,discredit,active
2296,292,"@LaailaMontiel Ensuciar a alguien por resentida por así decirlo o algún motivo que no sea acoso , violación o maltrato es una pelotudes tremenda !!! Dejen vivir a la gente que no hizo nada y ensucien al que en verdad se lo merece.",0,0,0
871,498,Mis padres tienen 30 años de casados y 4 hijos y yo ni siquiera puedo enseñarle a mi perra que haga del baño en un sólo lugar.,1,discredit,active
1710,1771,"Pobre JP no se merecia ser traicionado de esa forma tan ruin y sucia, esa zorra que iba de enamorada pero luego lo vota traicio... — Pero si Ashley no iba de enamorada, JP era un perrito faldero de Chrissy así que nose donde ves q... https://t.co/WjlNyOf1HE",1,discredit,active
1533,2557,Estoy en una cena con viejos y estan JUSTIFICANDO LA VIOLACIÓN y diciendo que las minas se lo buscan. Que nefasto la puta madre,0,0,0
3050,1065,"10 mejores libros del año, 10 mejores películas, 10 mejores que te calles de una puta vez.",1,dominance,active
3211,1902,"@RoBazanJS Pero no te despetabas, HASTA EL PERRO TE PEGO EN LA CARA CLN LAS PATAS Y SEGUISTE DURMIENDO",0,0,0
320,1020,-¿Por que las mujeres tienen Un sexto sentodo? -Porque no usan los otros cinco,1,stereotype,passive
762,1707,@anaisbernal Puta envidia de la juventud y de la libertad.,0,0,0
334,2705,"es una puta gilipollez alarmarse asi, enserio que hay de malo? no esta desnuda no tiene nada que enseñar, por que tanto revuelo? Para eso puedes poner ropa a tu pj si tanto te molesta verle 'desnudo' un poquito de logica",0,0,0
1248,3235,@tu_bombon22 @PonquesitoRico Jajaja tu eres una puta seria? 😈 interesante,1,discredit,active
2546,2145,@ebichuh @PotiPotiInLove El hombre que pega a una mujer es igual de hijo de puta que la mujer que pega a un hombre. Yo jamás pegaría a mi mujer y ella a mí tampoco. Porque somos personas cuerdas y no dementes acomplejadas como tú.,0,0,0
1624,2239,@Rescock bueno pero callate la puta boca no?,0,0,0
669,3155,mIRA TU CALLATE PUTA https://t.co/AD88mh1adR,1,sexual_harassment,active
1238,2503,Cepeda es el que peor lo hace de toda la puta academia. Hace muchas semanas que merecía estar fuera.,0,0,0
2187,748,una chica dijo que no le gustaron los chistes sobre acoso y violación en el video de Rubén y esto le contestaban algunos de sus fans https://t.co/F2SKl21D4B,0,0,0
3218,2459,"@selinac66283070 Es más, a mí debería importarme una puta mierda que tú por la playa vayas enseñando el rabo. Es asunto tuyo.No mío. Ni de nadie más. De la misma forma, si tú usas tu desnudez PARA TRABAJAR, es asunto tuyo. Y si yo quiero verte en pelotas,",0,0,0
3238,120,@erices16_ Cállate vos wacha trola deja de confundir las hormonas puta,1,discredit,active
558,3125,"Hasta la polla d todo, profesores que te miran por encima del hombro y te hacen sentir inutil en lugar de enseñarte",0,0,0
2595,2318,@chechechacon Tu eres una puta sentenciada y estas con concha en el congreso. Mentiste en tu cv y a las justas terminaste primaria. No te hagas la santa hipocrita de cuarta,1,discredit,active
339,2565,mi viejo acaba de decir “negros de mierda vayan a laburar” CALLATE HIJO DE RE MIL PUTA,0,0,0
1173,130,Gracias Twitter por enseñarme que el truco para ser famosa es estar bien buena y ser bien puta,1,stereotype,active
1214,2686,@nicolastomas El puta Cataluña me sale del corazón. El puta España me lo enseñaron en el colegio.,0,0,0
784,3134,Sinceramente si tienes un perro y le cortas las orejas y cola ADREDE por puta 'estética' no mereces tener ese animal y espero que te las corten a ti también,0,0,0
214,2912,"'Tidi vii ni is nividid, is nichi biini' cállate hija de tu puta madre.",1,stereotype,active
2476,2133,"@hramosallup Maldito hijo de puta, tu eres cómplice de toda esta vagabundería, falso, vendido, arrastrado, cierra ese pico que ya nadie te cree, políticamente estás muerto basura.",0,0,0
27,2875,"AAAAH vale vale, ya me he aclarado jajajajajaja Pues ojalá, que me pareces un tío de puta madre y te mereces lo mejor. ¿Y porq... — Son monisimos porque un ente superior los diseñó el uno para el otro, porque voy a ser su padrino... https://t.co/2SQ864Jj4t",0,0,0
2980,2221,Yao caverga te comiste 2 piñas por hijo de mil puta y te mereces mucho mas que eso forro,0,0,0
797,3253,@soicrystyan callate zorra siempre inventas competencias para no hacer nada,1,dominance,active
2996,1744,@perfilcom @CFKArgentina Esto te mereces hija de puta https://t.co/mcvYYHvJg8,1,discredit,active
1112,1012,"@eljueves Los ultras son escoria, cierto, pero no todos llevan tirantes con la bandera d españa, s os ve el plumero demasiado",0,0,0
2274,956,@croftarpiaa Cállate y deja a Lola en paz perra 🐕,1,dominance,active
2015,3282,@telefenoticias CALLATE VIEJA ZORRA,1,discredit,active
2811,2258,"@RiglockGuitar @SayaKitsune Buah,se ve super lindo. De verdad se lo merecían de una puta vez <3",0,0,0
1141,630,@IaraPicatto1 Callate que yo tmb te extraño perra,0,0,0
3061,416,"@ash_london Eres tan hipócrita, que no mereces ni los insultos. Pero me voy a sacrificar, perra.",1,discredit,active
704,1205,"Para todos ustedes, los que votaron a este hijo de puta, por odio. Espero que reciban lo que merezcan. Porque ustedes son tan soretes como él",0,0,0
971,459,@Absolute_Zero23 @IrantzuVarela @enlafronteratv Coño reseco vuelve a la carga. La reina del vaginesil.,0,0,0
776,2728,"#OTGala7 ostia puta!! Pedazo de actuación!!! Se esta comiendo a Cepeda... Vamos mireya te lo mereces, es muy grande!!! Menuda pedazo de artista!!! Impresionante 🎼🎵🎶 #MireyaSeQueda #OT @17OTriunfo",0,0,0
1892,2749,@Juanmaherrera27 @YouTube a saber que hijo de puta te la enseñaria,0,0,0
3250,1041,-¿Que le falta a una Mujer para ser perfecta? -todo,1,stereotype,passive
419,3044,"@antonio10gn @aarbeloa17 @JulittoM @XabiAlonso Y tú eres muy bueno con una polla en la boca, hijo de puta.",0,0,0
1151,448,Lo mejor de todo ver a Anabel con cara de asco jeje fijo que te lo mereces zorra https://t.co/3MMQKUAWYG,1,discredit,active
999,315,@wikitetas_culos Movimiento SEMEN apoya esas tetas. Un RT para difundir la campaña!,0,0,0
1146,1514,"OLIMPISMO | Pese a las acusaciones de acoso y violación en su país, el israelí Alex Gilady seguirá trabajando en Comisión de Coordinación para @Tokyo2020, informó @Olympics https://t.co/TKHd3hmUC6",0,0,0
519,2508,"@SevillaFC @AlbertOrtegaES1 Puta Sevilla no os merecéis a alguien como el, mirad la plantilla que tenéis y donde estáis, no se que os creéis",1,discredit,active
1429,704,"@Agstinaramos5 Cállate, vos porque ya estás casada maldita perra",1,dominance,active
1432,2802,@AndreiusArdilla Me flipa😍 Me tienes que enseñar a hacer pelo me cago en la puta JAJAJA,0,0,0
1205,691,"@MiguelHerreraDT pinche gordo mediocre vete a la mierda junto a tu perra hija gorda eso y más te mereces, tu con tus decisiones insultas más a la verdadera afición",1,discredit,active
1342,26,"Ahhh pero vaya y uno callada les acepte las cortesías sin ánimos de darles sexo que cuando se estrellen, de 'perra oportunista' no te bajan.",0,0,0
1998,2187,"@MuyLiberal Que te calles y a la cárcel, eso es lo que tienes que hacer de una puta vez",0,0,0
400,889,@spacetrao Callate CTM hijo de la perra caliente 😎,1,dominance,active
666,10,@ian_delaCalva @IrantzuVarela @pikaramagazine Oye por qué no molestas a tu puta madre?,1,discredit,active
319,1509,"Hoy se quema el 2K17 gracias por enseñarme mucho, y viene 2K18 como así que SKEREE perra ajjaja",0,0,0
231,395,"mi papá es un hijo de puta, mi mamá no se merecía una mierda así tantos años y el día que se separen me chupa un huevo lo 'económico' porque de ahí se agarra él, lo voy a escrachar porque las víctimas no tienen que sentir vergüenza, el victimario debería",0,0,0
1739,3194,"'Desbloqueme, dale zorrita. Sabes por qué te cagué a palo? Por puta, te merecías la cagada a palo' Lo que uno tiene que escuchar en la calle",1,discredit,active
300,3243,@HdYurii Cállate y agregame de amigo zorra x2,1,dominance,active
2940,3298,"@nanyfe @echarripablo1 Sabes que hija de puta?, te mereces que te pase a vos, que te agarre un gendarme enroscado, te vacie un gas pimienta en la cara, te manosee las tetas, el culo y la concha, y te tengan dos dias en cana mientras el juez allana tu domi",1,sexual_harassment,active
132,2059,"@R9Soldado @CiudadanosCs @InesArrimadas Cállate la puta boca y dedícate a lo tuyo, aunque se te da igual de mal que la politica",1,dominance,active
1483,1547,@juandeltoro08 Tú eres una pinche perra,1,discredit,active
2465,1134,"@obseno1 @RosaLaConejita Mmmmm la mas tetona y puta de Mexico, pinche puta tan buena . Mmmm te mereces k te usan, abusan en la cama, y te cogen como la puta k eres, mmmm mama una verga puta💵🍆😉😘",1,sexual_harassment,active
